symbol,market,asset_type,trade_date,open,high,low,close,prev_close,volume,amount,pct_change,ret_1d,log_ret_1d,quality_flag,ingest_time,data_version
1519.HK,HK,equity,2023-10-27,12.0,12.2,11.8,12.0,12.0,21003699.0,251546793.98,0.0,0.0,0.0,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-10-30,12.0,12.0,11.82,12.0,12.0,4884200.0,58507048.0,0.0,0.0,0.0,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-10-31,12.0,12.0,11.86,11.86,12.0,2782600.0,33154700.0,-0.011666666666666714,-0.011666666666666714,-0.011735256218420965,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-01,11.8,12.0,11.8,12.0,11.86,2932400.0,35045984.0,0.01180438448566612,0.01180438448566612,0.011735256218420932,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-02,11.98,12.6,11.94,12.58,12.0,5395200.0,66474784.0,0.04833333333333334,0.04833333333333334,0.04720160148429416,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-03,12.7,12.8,12.22,12.4,12.58,4447200.0,55632764.0,-0.014308426073131986,-0.014308426073131986,-0.014411778661303316,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-06,12.34,12.54,12.08,12.4,12.4,4620800.0,56723234.0,0.0,0.0,0.0,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-07,12.4,12.4,12.12,12.38,12.4,4520800.0,55260724.0,-0.001612903225806428,-0.001612903225806428,-0.0016142053545411135,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-08,12.3,12.58,12.22,12.3,12.38,4601400.0,57267468.0,-0.00646203554119551,-0.00646203554119551,-0.006483004878078266,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-09,12.3,12.4,11.8,12.14,12.3,4552400.0,54959328.0,-0.013008130081300862,-0.013008130081300862,-0.013093476747019658,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-10,12.0,12.2,11.96,12.0,12.14,5276800.0,63475168.0,-0.011532125205930832,-0.011532125205930832,-0.011599135843351918,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-13,12.0,12.02,11.9,12.0,12.0,6423200.0,76891968.0,0.0,0.0,0.0,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-14,12.0,12.02,11.7,12.0,12.0,11438800.0,136103112.0,0.0,0.0,0.0,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-15,12.0,12.0,11.78,12.0,12.0,15013400.0,178886892.0,0.0,0.0,0.0,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-16,12.0,12.08,11.88,12.0,12.0,12178200.0,146052716.0,0.0,0.0,0.0,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-17,12.0,12.0,11.58,11.6,12.0,5653600.0,66624472.0,-0.033333333333333326,-0.033333333333333326,-0.03390155167568134,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-20,11.5,11.72,11.3,11.56,11.6,3119000.0,35787204.0,-0.0034482758620688614,-0.0034482758620688614,-0.003454234868087446,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-21,11.58,11.6,10.98,11.4,11.56,2067200.0,23575012.0,-0.01384083044982698,-0.01384083044982698,-0.013937507843781624,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-22,11.1,11.8,11.1,11.54,11.4,2368400.0,27485288.0,0.012280701754385781,0.012280701754385781,0.012205905679503545,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-23,11.58,11.98,10.72,11.96,11.54,4464400.0,51781748.0,0.036395147313691645,0.036395147313691645,0.035748487442532305,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-24,11.96,12.18,11.4,12.06,11.96,3024600.0,35965800.0,0.00836120401337781,0.00836120401337781,0.00832644277655359,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-27,12.06,12.16,11.82,11.86,12.06,2221800.0,26594804.0,-0.016583747927031545,-0.016583747927031545,-0.016722797729460025,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-28,11.9,12.04,11.68,11.76,11.86,2465000.0,29153256.0,-0.00843170320404718,-0.00843170320404718,-0.008467451099098494,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-29,11.8,12.08,11.68,11.98,11.76,2804600.0,33192808.0,0.018707482993197244,0.018707482993197244,0.018534650216822393,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-11-30,11.98,12.9,11.88,12.8,11.98,5078900.0,63537113.0,0.06844741235392315,0.06844741235392315,0.06620657823826814,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-12-01,12.8,14.04,12.8,13.98,12.8,6253800.0,84000836.0,0.09218749999999987,0.09218749999999987,0.0881825658800926,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-12-04,13.9,13.96,12.94,13.2,13.98,4493400.0,59794880.0,-0.05579399141630914,-0.05579399141630914,-0.05741090721333916,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-12-05,13.2,13.3,12.8,13.06,13.2,4489600.0,58573632.0,-0.010606060606060508,-0.010606060606060508,-0.010662705744040069,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-12-06,13.06,13.28,12.82,12.98,13.06,4489400.0,58656284.4,-0.006125574272588086,-0.006125574272588086,-0.006144412572341097,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-12-07,12.92,13.24,12.62,13.1,12.98,4660601.0,60205898.7,0.009244992295839749,0.009244992295839749,0.00920251893116192,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-12-08,13.04,13.2,12.82,13.12,13.1,3277200.0,42555414.0,0.0015267175572519776,0.0015267175572519776,0.0015255533088371917,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-12-11,13.08,13.44,12.78,13.38,13.12,4586600.0,59881484.6,0.01981707317073189,0.01981707317073189,0.01962327118413959,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-12-12,13.3,14.06,13.3,14.0,13.38,4866400.0,66933472.0,0.046337817638266054,0.046337817638266054,0.04529627491517621,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-12-13,13.98,14.68,13.98,14.24,14.0,5236500.0,75761667.2,0.017142857142857126,0.017142857142857126,0.016997576368571077,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-12-14,14.24,14.46,12.94,13.08,14.24,5484600.0,74689288.0,-0.0814606741573034,-0.0814606741573034,-0.0849705599547771,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-12-15,13.08,13.88,12.84,13.74,13.08,6184650.0,83703790.2,0.050458715596330306,0.050458715596330306,0.04922694076515067,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-12-18,13.8,13.94,13.34,13.6,13.74,2375600.0,32285656.0,-0.010189228529839944,-0.010189228529839944,-0.010241494052197018,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-12-19,13.52,13.98,13.28,13.9,13.6,2534600.0,34832608.0,0.02205882352941191,0.02205882352941191,0.021819047394639888,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-12-20,13.9,14.46,13.82,14.4,13.9,2902600.0,40816810.0,0.03597122302158273,0.03597122302158273,0.03533936644530886,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-12-21,14.22,15.18,14.1,15.0,14.4,4332900.0,63543590.0,0.04166666666666674,0.04166666666666674,0.0408219945202552,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-12-22,15.0,15.2,14.54,14.86,15.0,2609800.0,38614112.0,-0.009333333333333416,-0.009333333333333416,-0.009377161812597044,PASS,2026-05-11T14:02:07Z,D20260511.01
1519.HK,HK,equity,2023-12-27,14.7,15.14,14.5,15.12,14.86,2852300.0,42728122.0,0.01749663526244949,0.01749663526244949,0.017345331461773795,PASS,2026-05-11T14:02:07Z,D20260511.01
