symbol,market,asset_type,trade_date,open,high,low,close,prev_close,volume,amount,pct_change,ret_1d,log_ret_1d,quality_flag,ingest_time,data_version
HKTECH,HK,index,2020-07-27,6918.05,7014.84,6677.16,6774.78,6862.7,0.0,0.0,-0.01281128418843891,-0.01281128418843891,-0.012894056395166189,PASS,2026-06-08T21:24:34Z,D20260608.01
HKTECH,HK,index,2020-07-28,6930.58,7012.62,6902.57,7012.62,6774.78,0.0,0.0,0.03510667505070275,0.03510667505070275,0.03450448908806222,PASS,2026-06-08T21:24:34Z,D20260608.01
HKTECH,HK,index,2020-07-29,6971.98,7099.94,6951.1,7085.15,7012.62,0.0,0.0,0.010342782012999319,0.010342782012999319,0.010289661405726026,PASS,2026-06-08T21:24:34Z,D20260608.01
HKTECH,HK,index,2020-07-30,7160.24,7244.19,7083.79,7100.21,7085.15,0.0,0.0,0.002125572500229378,0.002125572500229378,0.0021233166670615628,PASS,2026-06-08T21:24:34Z,D20260608.01
HKTECH,HK,index,2020-07-31,7193.55,7285.56,7108.15,7155.03,7100.21,0.0,0.0,0.007720898395962905,0.007720898395962905,0.0076912447970876536,PASS,2026-06-08T21:24:34Z,D20260608.01
HKTECH,HK,index,2020-08-03,7255.44,7311.53,7127.2,7292.45,7155.03,0.0,0.0,0.019206069017180916,0.019206069017180916,0.019023960505219695,PASS,2026-06-08T21:24:34Z,D20260608.01
HKTECH,HK,index,2020-08-04,7390.33,7448.95,7330.11,7436.59,7292.45,0.0,0.0,0.01976564803323999,0.01976564803323999,0.019572844067878827,PASS,2026-06-08T21:24:34Z,D20260608.01
HKTECH,HK,index,2020-08-05,7488.74,7547.2,7398.66,7547.2,7436.59,0.0,0.0,0.014873752620488734,0.014873752620488734,0.014764223103020252,PASS,2026-06-08T21:24:34Z,D20260608.01
HKTECH,HK,index,2020-08-06,7579.88,7588.85,7420.51,7576.84,7547.2,0.0,0.0,0.003927284290862865,0.003927284290862865,0.003919592641531032,PASS,2026-06-08T21:24:34Z,D20260608.01
HKTECH,HK,index,2020-08-07,7551.8,7551.8,7144.76,7386.66,7576.84,0.0,0.0,-0.025100173687183647,-0.025100173687183647,-0.02542055550590097,PASS,2026-06-08T21:24:34Z,D20260608.01
HKTECH,HK,index,2020-08-10,7279.54,7279.54,7119.29,7176.17,7386.66,0.0,0.0,-0.028495964346538227,-0.028495964346538227,-0.028909856129562855,PASS,2026-06-08T21:24:34Z,D20260608.01
HKTECH,HK,index,2020-08-11,7217.05,7274.64,7085.29,7129.84,7176.17,0.0,0.0,-0.006456090087051947,-0.006456090087051947,-0.006477020772219054,PASS,2026-06-08T21:24:34Z,D20260608.01
