asof_date,y_ret_1d,y_ret_5d,y_ret_20d,y_up_1d,label_version,built_at
2021-05-28,-0.003597122302158362,0.12589928057553945,0.007194244604316502,0.0,model_labels_v1,2026-03-23T09:59:10Z
2021-05-31,0.10228640192539107,0.10469314079422376,0.012033694344163681,1.0,model_labels_v1,2026-03-23T09:59:10Z
2021-06-01,-0.008733624454148492,-0.01091703056768556,-0.07641921397379914,0.0,model_labels_v1,2026-03-23T09:59:10Z
2021-06-02,0.03524229074889873,-0.016519823788546217,-0.08810572687224671,1.0,model_labels_v1,2026-03-23T09:59:10Z
2021-06-03,-0.0010638297872339608,-0.06595744680851068,-0.13829787234042556,0.0,model_labels_v1,2026-03-23T09:59:10Z
2021-06-04,-0.022364217252396235,-0.08945686900958472,-0.1693290734824282,0.0,model_labels_v1,2026-03-23T09:59:10Z
2021-06-07,-0.013071895424836666,-0.08496732026143783,-0.144880174291939,0.0,model_labels_v1,2026-03-23T09:59:10Z
2021-06-08,-0.014348785871964642,-0.08167770419426035,-0.1556291390728476,0.0,model_labels_v1,2026-03-23T09:59:10Z
2021-06-09,-0.016797312430011146,-0.05935050391937291,-0.13325867861142204,0.0,model_labels_v1,2026-03-23T09:59:10Z
2021-06-10,-0.026195899772209486,-0.04555808656036442,-0.12072892938496582,0.0,model_labels_v1,2026-03-23T09:59:10Z
2021-06-11,-0.01754385964912286,-0.040935672514619936,-0.0736842105263158,0.0,model_labels_v1,2026-03-23T09:59:10Z
2021-06-15,-0.00952380952380949,-0.02261904761904765,-0.06785714285714284,0.0,model_labels_v1,2026-03-23T09:59:10Z
2021-06-16,0.009615384615384581,-0.016826923076923128,-0.0625,1.0,model_labels_v1,2026-03-23T09:59:10Z
2021-06-17,-0.0023809523809523725,-0.027380952380952395,-0.09523809523809523,0.0,model_labels_v1,2026-03-23T09:59:10Z
2021-06-18,-0.021479713603818618,-0.014319809069212486,-0.11336515513126488,0.0,model_labels_v1,2026-03-23T09:59:10Z
2021-06-21,0.0012195121951219523,0.024390243902439046,-0.10731707317073169,1.0,model_labels_v1,2026-03-23T09:59:10Z
2021-06-22,-0.0036540803897685548,0.02436053593179044,-0.1583434835566383,0.0,model_labels_v1,2026-03-23T09:59:10Z
2021-06-23,-0.0012224938875304847,0.03422982885085579,-0.14914425427872868,0.0,model_labels_v1,2026-03-23T09:59:10Z
