symbol,asof_date,trade_year,trade_month,trade_dayofweek,fundamental_anchor_date,fundamental_anchor_period_type,fundamental_lag_days,fundamental_quality_flag,fundamental_data_version,fundamental_anchor_score,fundamental_critical_nonnull_count,fundamental_critical_nonnull_ratio,revenue,gross_profit,gross_margin,net_profit,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,borrowings,lease_liabilities,operating_cash_flow,investing_cash_flow,financing_cash_flow,free_cash_inflow,capex_net,net_cash,working_capital,debt_to_asset_ratio,lease_burden_ratio,trade_receivables,contract_assets,inventories,trade_payables,receivables_ratio,contract_assets_ratio,inventory_ratio,payables_ratio,supplier_finance_arrangements,supplier_finance_ratio,receivables_over_6m_ratio,receivables_over_12m_ratio,payables_over_12m_ratio,receivables_loss_allowance_ratio,free_cash_flow_margin,capex_intensity,operating_cash_flow_margin,cash_conversion_quality_score,revenue_jd_group,revenue_external,revenue_integrated_supply_chain,revenue_external_integrated_supply_chain,revenue_other_customers,external_revenue_ratio,jd_group_revenue_ratio,integrated_supply_chain_revenue_ratio,external_isc_revenue_ratio,warehouse_count,external_isc_customer_count,external_isc_arpc,external_isc_customer_yoy,external_isc_arpc_yoy,stock_close,stock_ret_1d,stock_ret_5d,stock_ret_20d,stock_vol_5d,stock_vol_20d,hsi_ret_1d,hsi_ret_5d,hsi_ret_20d,hktech_ret_1d,hktech_ret_5d,hktech_ret_20d,hscei_ret_1d,hscei_ret_5d,hscei_ret_20d,alpha_hsi_5d,alpha_hktech_5d,alpha_hscei_5d,alpha_hsi_20d,alpha_hktech_20d,alpha_hscei_20d,ret_9618_1d,ret_9618_5d,ret_9618_20d,ret_3690_1d,ret_3690_5d,ret_3690_20d,ret_9988_1d,ret_9988_5d,ret_9988_20d,ret_2057_1d,ret_2057_5d,ret_2057_20d,ret_1519_1d,ret_1519_5d,ret_1519_20d,alpha_vs_9618_5d,alpha_vs_3690_5d,alpha_vs_9988_5d,alpha_vs_2057_5d,alpha_vs_1519_5d,row_quality_flag,missing_ratio,feature_count_total,feature_count_nonnull,build_version,built_at
02618.HK,2025-01-02,2025,1,3,2024-12-31,annual,2,CONFIRMED,V2.5,3412.0,10,1.0,182837.584,18698.413,0.102,7087.553,117867.788,54900.868,62966.92,67740.188,39712.049,7228.23,15941.503,20790.727,-840.448,-11487.704,8100.0,4300.0,22734.265000000003,28028.139,46.57834759739446,29.036886994209272,15744.864,333.561,645.798,8568.084,8.611393596187531,0.1824356856520265,0.3532085613207403,4.686172182192038,101.446,1.1839986629449477,1.7092875492605082,1.1018196155902014,2.8062633372875427,2.410233584742301,4.43016136113459,2.3518140559109555,11.37114511423428,2.75975151804675,55061.616,127775.968,87355.44,32300.0,95482.144,69.88495756977406,30.11504243022594,47.77761666332236,17.665952094400897,1600,80703.0,400156.0,8.015900634419253,-4.8070358237999065,12.68,-0.009375000000000022,-0.06074074074074076,-0.10070921985815606,0.006917131949964947,0.01758264962495336,-0.021766255648693056,-0.01306685617405312,0.0037354944606959872,-0.02474871925713551,-0.02250412194219198,-0.010989684404044575,-0.027343358320447986,-0.01709074036658409,0.011629287303927871,-0.04767388456668764,-0.03823661879854878,-0.04365000037415667,-0.10444471431885205,-0.08971953545411149,-0.11233850716208393,-0.02573529411764708,-0.05085959885386815,-0.1004752206381535,-0.007251153592616966,-0.03213367609254503,-0.10035842293906816,-0.013349514563106846,0.0037037037037037646,-0.03214285714285714,-0.00793126239259756,-0.032860824742268036,0.008736559139784772,-0.04404567699836859,-0.050243111831442366,0.0068728522336769515,-0.009881141886872613,-0.028607064648195735,-0.06444444444444453,-0.027879915998472726,-0.010497628909298395,PASS,0.0,93,93,model_features_v2.0,2026-03-23T08:43:03Z
02618.HK,2025-01-03,2025,1,4,2024-12-31,annual,3,CONFIRMED,V2.5,3412.0,10,1.0,182837.584,18698.413,0.102,7087.553,117867.788,54900.868,62966.92,67740.188,39712.049,7228.23,15941.503,20790.727,-840.448,-11487.704,8100.0,4300.0,22734.265000000003,28028.139,46.57834759739446,29.036886994209272,15744.864,333.561,645.798,8568.084,8.611393596187531,0.1824356856520265,0.3532085613207403,4.686172182192038,101.446,1.1839986629449477,1.7092875492605082,1.1018196155902014,2.8062633372875427,2.410233584742301,4.43016136113459,2.3518140559109555,11.37114511423428,2.75975151804675,55061.616,127775.968,87355.44,32300.0,95482.144,69.88495756977406,30.11504243022594,47.77761666332236,17.665952094400897,1600,80703.0,400156.0,8.015900634419253,-4.8070358237999065,12.86,0.014195583596214423,-0.038863976083707175,-0.11675824175824179,0.013977015779139883,0.015901584462670926,0.006978941381988513,-0.016818346237416293,0.0007064607481293006,0.010462349083081524,-0.023189466795336733,-0.003365783987741011,0.009691720540355941,-0.01980308358605598,0.012323006475821519,-0.022045629846290882,-0.015674509288370442,-0.019060892497651194,-0.11746470250637109,-0.11339245777050078,-0.1290812482340633,0.012830188679245236,-0.0475514549325764,-0.07639366827253968,0.02058432934926957,-0.009026434558349505,-0.07129909365558917,0.01599015990159902,-0.00661455201443184,-0.021906453522794633,0.00799467021985345,-0.03814367450731082,0.01001335113484636,-0.03412969283276457,-0.09439999999999993,-0.022452504317789224,0.008687478848869223,-0.02983754152535767,-0.032249424069275334,-0.0007203015763963538,0.055536023916292754,PASS,0.0,93,93,model_features_v2.0,2026-03-23T08:43:03Z
02618.HK,2025-01-06,2025,1,0,2024-12-31,annual,6,CONFIRMED,V2.5,3412.0,10,1.0,182837.584,18698.413,0.102,7087.553,117867.788,54900.868,62966.92,67740.188,39712.049,7228.23,15941.503,20790.727,-840.448,-11487.704,8100.0,4300.0,22734.265000000003,28028.139,46.57834759739446,29.036886994209272,15744.864,333.561,645.798,8568.084,8.611393596187531,0.1824356856520265,0.3532085613207403,4.686172182192038,101.446,1.1839986629449477,1.7092875492605082,1.1018196155902014,2.8062633372875427,2.410233584742301,4.43016136113459,2.3518140559109555,11.37114511423428,2.75975151804675,55061.616,127775.968,87355.44,32300.0,95482.144,69.88495756977406,30.11504243022594,47.77761666332236,17.665952094400897,1600,80703.0,400156.0,8.015900634419253,-4.8070358237999065,12.08,-0.06065318818040433,-0.0778625954198473,-0.16689655172413798,0.027773584665381258,0.020026664938960857,-0.0036426627773810116,-0.020017958772472033,-0.0027438323288991873,-0.0018259779429131706,-0.0316199524521934,-0.0020344955994949787,-0.003324329457949915,-0.023254142984298842,0.007124909028757953,-0.05784463664737527,-0.0462426429676539,-0.05460845243554846,-0.1641527193952388,-0.164862056124643,-0.17402146075289593,0.011177347242921076,-0.0014716703458426128,-0.04705056179775291,-0.01951854261548469,-0.025856496444731758,-0.08777239709443097,-0.005447941888619745,-0.0024286581663629514,-0.022023809523809446,-0.010575016523463487,-0.024755700325732932,0.008760107816711438,0.03356890459363959,-0.039408866995073955,-0.008474576271186529,-0.07639092507400469,-0.052006098975115544,-0.07543393725348435,-0.05310689509411437,-0.03845372842477335,PASS,0.0,93,93,model_features_v2.0,2026-03-23T08:43:03Z
02618.HK,2025-01-07,2025,1,1,2024-12-31,annual,7,CONFIRMED,V2.5,3412.0,10,1.0,182837.584,18698.413,0.102,7087.553,117867.788,54900.868,62966.92,67740.188,39712.049,7228.23,15941.503,20790.727,-840.448,-11487.704,8100.0,4300.0,22734.265000000003,28028.139,46.57834759739446,29.036886994209272,15744.864,333.561,645.798,8568.084,8.611393596187531,0.1824356856520265,0.3532085613207403,4.686172182192038,101.446,1.1839986629449477,1.7092875492605082,1.1018196155902014,2.8062633372875427,2.410233584742301,4.43016136113459,2.3518140559109555,11.37114511423428,2.75975151804675,55061.616,127775.968,87355.44,32300.0,95482.144,69.88495756977406,30.11504243022594,47.77761666332236,17.665952094400897,1600,80703.0,400156.0,8.015900634419253,-4.8070358237999065,12.26,0.01490066225165565,-0.059815950920245387,-0.132956152758133,0.030922534126883294,0.020331121289170105,-0.012226049088061908,-0.02963063495500806,-0.005769808859105274,-0.009164793359847767,-0.032395680575923236,-0.003528426486538505,-0.01202021724761615,-0.031697088674144225,0.005072628924677636,-0.030185315965237325,-0.02742027034432215,-0.02811886224610116,-0.12718634389902772,-0.1294277262715945,-0.13802878168281063,-0.005158437730287346,0.0022271714922050823,-0.050632911392405,-0.013271400132713995,-0.026832460732984398,-0.06595477386934678,-0.00912964090079127,-0.007317073170731603,-0.006711409395973145,-0.011356045424181671,-0.02887139107611547,0.016483516483516425,0.017094017094017255,-0.026186579378068786,0.0050675675675675436,-0.06204312241245047,-0.03298349018726099,-0.052498877749513784,-0.030944559844129915,-0.0336293715421766,PASS,0.0,93,93,model_features_v2.0,2026-03-23T08:43:03Z
02618.HK,2025-01-08,2025,1,2,2024-12-31,annual,8,CONFIRMED,V2.5,3412.0,10,1.0,182837.584,18698.413,0.102,7087.553,117867.788,54900.868,62966.92,67740.188,39712.049,7228.23,15941.503,20790.727,-840.448,-11487.704,8100.0,4300.0,22734.265000000003,28028.139,46.57834759739446,29.036886994209272,15744.864,333.561,645.798,8568.084,8.611393596187531,0.1824356856520265,0.3532085613207403,4.686172182192038,101.446,1.1839986629449477,1.7092875492605082,1.1018196155902014,2.8062633372875427,2.410233584742301,4.43016136113459,2.3518140559109555,11.37114511423428,2.75975151804675,55061.616,127775.968,87355.44,32300.0,95482.144,69.88495756977406,30.11504243022594,47.77761666332236,17.665952094400897,1600,80703.0,400156.0,8.015900634419253,-4.8070358237999065,11.96,-0.02446982055464919,-0.06562499999999993,-0.16713091922005563,0.03135896279713752,0.019970046446081694,-0.00862523769024226,-0.03888893043103303,-0.02949836025138608,-0.01088454119592186,-0.035968228177014505,-0.035221125956122035,-0.008377657935007554,-0.04104866174426203,-0.02044403897355529,-0.026736069568966903,-0.029656771822985428,-0.024576338255737906,-0.13763255896866955,-0.1319097932639336,-0.14668688024650034,0.0022222222222223476,-0.0051470588235292825,-0.07708049113233273,-0.01344989912575656,-0.032959789057350086,-0.0966748768472907,-0.00614250614250611,-0.01820388349514568,-0.03633114949374627,-0.00878378378378386,-0.030403172504957166,-0.001361470388019148,-0.021848739495798353,-0.05057096247960846,-0.05057096247960846,-0.06047794117647065,-0.03266521094264985,-0.047421116504854255,-0.03522182749504277,-0.015054037520391472,PASS,0.0,93,93,model_features_v2.0,2026-03-23T08:43:03Z
02618.HK,2025-01-09,2025,1,3,2024-12-31,annual,9,CONFIRMED,V2.5,3412.0,10,1.0,182837.584,18698.413,0.102,7087.553,117867.788,54900.868,62966.92,67740.188,39712.049,7228.23,15941.503,20790.727,-840.448,-11487.704,8100.0,4300.0,22734.265000000003,28028.139,46.57834759739446,29.036886994209272,15744.864,333.561,645.798,8568.084,8.611393596187531,0.1824356856520265,0.3532085613207403,4.686172182192038,101.446,1.1839986629449477,1.7092875492605082,1.1018196155902014,2.8062633372875427,2.410233584742301,4.43016136113459,2.3518140559109555,11.37114511423428,2.75975151804675,55061.616,127775.968,87355.44,32300.0,95482.144,69.88495756977406,30.11504243022594,47.77761666332236,17.665952094400897,1600,80703.0,400156.0,8.015900634419253,-4.8070358237999065,12.08,0.010033444816053505,-0.04731861198738163,-0.18157181571815717,0.03308594352983475,0.018593369877849267,-0.002020244981286168,-0.019488547299845282,-0.057470110105324324,0.0009611366485584583,-0.010554144205547566,-0.07414104105823749,-0.0016707584649725549,-0.015737803900941927,-0.051856653141976294,-0.02783006468753635,-0.036764467781834065,-0.031580808086439704,-0.12410170561283285,-0.10743077465991968,-0.12971516257618088,-0.015521064301552312,0.005283018867924483,-0.12483574244415241,-0.015678254942058545,-0.04116865869853914,-0.15899825276645307,-0.00370828182941918,-0.008610086100861003,-0.07249712313003465,-0.005453306066802832,-0.027981345769486965,-0.026684456304202797,0.1030927835051545,0.09556313993174048,0.02719999999999989,-0.052601630855306114,-0.006149953288842491,-0.03870852588652063,-0.019337266217894666,-0.1428817519191221,PASS,0.0,93,93,model_features_v2.0,2026-03-23T08:43:03Z
02618.HK,2025-01-10,2025,1,4,2024-12-31,annual,10,CONFIRMED,V2.5,3412.0,10,1.0,182837.584,18698.413,0.102,7087.553,117867.788,54900.868,62966.92,67740.188,39712.049,7228.23,15941.503,20790.727,-840.448,-11487.704,8100.0,4300.0,22734.265000000003,28028.139,46.57834759739446,29.036886994209272,15744.864,333.561,645.798,8568.084,8.611393596187531,0.1824356856520265,0.3532085613207403,4.686172182192038,101.446,1.1839986629449477,1.7092875492605082,1.1018196155902014,2.8062633372875427,2.410233584742301,4.43016136113459,2.3518140559109555,11.37114511423428,2.75975151804675,55061.616,127775.968,87355.44,32300.0,95482.144,69.88495756977406,30.11504243022594,47.77761666332236,17.665952094400897,1600,80703.0,400156.0,8.015900634419253,-4.8070358237999065,11.82,-0.021523178807946963,-0.08087091757387244,-0.18482758620689654,0.030529311782767615,0.018700041764693646,-0.009178369607642844,-0.03522117865798391,-0.06139396433902733,-0.011763778139597503,-0.03231799269608826,-0.07210895612747548,-0.01158054985363044,-0.03647432292755426,-0.0558446906693143,-0.04564973891588853,-0.048552924877784176,-0.04439659464631818,-0.12343362186786921,-0.11271863007942107,-0.12898289553758224,-0.017267267267267128,-0.024590163934426146,-0.1461187214611872,-0.02977839335180066,-0.08848405985686403,-0.1845168800931316,-0.012406947890818865,-0.03631961259079908,-0.0808314087759815,-0.02673063742289239,-0.061467283542630646,-0.02806297056810403,0.015576323987538832,0.15194346289752647,0.0830564784053156,-0.05628075363944629,0.007613142282991592,-0.04455130498307336,-0.01940363403124179,-0.2328143804713989,PASS,0.0,93,93,model_features_v2.0,2026-03-23T08:43:03Z
02618.HK,2025-01-13,2025,1,0,2024-12-31,annual,13,CONFIRMED,V2.5,3412.0,10,1.0,182837.584,18698.413,0.102,7087.553,117867.788,54900.868,62966.92,67740.188,39712.049,7228.23,15941.503,20790.727,-840.448,-11487.704,8100.0,4300.0,22734.265000000003,28028.139,46.57834759739446,29.036886994209272,15744.864,333.561,645.798,8568.084,8.611393596187531,0.1824356856520265,0.3532085613207403,4.686172182192038,101.446,1.1839986629449477,1.7092875492605082,1.1018196155902014,2.8062633372875427,2.410233584742301,4.43016136113459,2.3518140559109555,11.37114511423428,2.75975151804675,55061.616,127775.968,87355.44,32300.0,95482.144,69.88495756977406,30.11504243022594,47.77761666332236,17.665952094400897,1600,80703.0,400156.0,8.015900634419253,-4.8070358237999065,11.76,-0.005076142131979711,-0.026490066225165587,-0.1878453038674034,0.01784571593153133,0.018628517378752183,-0.009974145378611077,-0.04135199146294577,-0.06355280686478082,-0.009129698039344492,-0.03939860025301012,-0.06833378203628748,-0.007891962653312823,-0.04089003407337466,-0.05595925836867777,0.014861925237780182,0.012908534027844532,0.014399967848209072,-0.12429249700262257,-0.11951152183111591,-0.13188604549872562,-0.014514896867838134,-0.04937361827560793,-0.13422818791946312,-0.01927194860813697,-0.08825481088254805,-0.17724550898203595,-0.018844221105527637,-0.049300060864272854,-0.0939675174013922,-0.011267605633802802,-0.06212424849699383,-0.043596730245231696,-0.04447852760736182,0.06495726495726517,0.011363636363636465,0.022883552050442346,0.061764744657382464,0.022809994639107267,0.03563418227182824,-0.09144733118243076,PASS,0.0,93,93,model_features_v2.0,2026-03-23T08:43:03Z
02618.HK,2025-01-14,2025,1,1,2024-12-31,annual,14,CONFIRMED,V2.5,3412.0,10,1.0,182837.584,18698.413,0.102,7087.553,117867.788,54900.868,62966.92,67740.188,39712.049,7228.23,15941.503,20790.727,-840.448,-11487.704,8100.0,4300.0,22734.265000000003,28028.139,46.57834759739446,29.036886994209272,15744.864,333.561,645.798,8568.084,8.611393596187531,0.1824356856520265,0.3532085613207403,4.686172182192038,101.446,1.1839986629449477,1.7092875492605082,1.1018196155902014,2.8062633372875427,2.410233584742301,4.43016136113459,2.3518140559109555,11.37114511423428,2.75975151804675,55061.616,127775.968,87355.44,32300.0,95482.144,69.88495756977406,30.11504243022594,47.77761666332236,17.665952094400897,1600,80703.0,400156.0,8.015900634419253,-4.8070358237999065,12.1,0.028911564625850428,-0.013050570962479635,-0.140625,0.02233235450699853,0.020075614689706978,0.018312887368642894,-0.011713539679487295,-0.05771766015183566,0.030820100807215756,-0.0006337834114081842,-0.05407296960107111,0.020990062869945536,-0.008844349342275404,-0.050643364822401726,-0.0013370312829923403,-0.012416787551071451,-0.004206221620204231,-0.08290733984816434,-0.08655203039892889,-0.08998163517759827,0.05348837209302326,0.006666666666666599,-0.0805142083897159,0.05021834061135366,-0.029589778076664297,-0.1456483126110124,0.023687580025608224,-0.017813267813267863,-0.09147727272727268,0.03774928774928754,-0.01554054054054066,-0.01554054054054066,0.02728731942215079,0.07563025210084029,0.032258064516129004,-0.019717237629146234,0.016539207114184662,0.004762696850788228,0.0024899695780610243,-0.08868082306331992,PASS,0.0,93,93,model_features_v2.0,2026-03-23T08:43:03Z
02618.HK,2025-01-15,2025,1,2,2024-12-31,annual,15,CONFIRMED,V2.5,3412.0,10,1.0,182837.584,18698.413,0.102,7087.553,117867.788,54900.868,62966.92,67740.188,39712.049,7228.23,15941.503,20790.727,-840.448,-11487.704,8100.0,4300.0,22734.265000000003,28028.139,46.57834759739446,29.036886994209272,15744.864,333.561,645.798,8568.084,8.611393596187531,0.1824356856520265,0.3532085613207403,4.686172182192038,101.446,1.1839986629449477,1.7092875492605082,1.1018196155902014,2.8062633372875427,2.410233584742301,4.43016136113459,2.3518140559109555,11.37114511423428,2.75975151804675,55061.616,127775.968,87355.44,32300.0,95482.144,69.88495756977406,30.11504243022594,47.77761666332236,17.665952094400897,1600,80703.0,400156.0,8.015900634419253,-4.8070358237999065,11.98,-0.009917355371900749,0.0016722408026754731,-0.13688760806916433,0.019511135321585375,0.020021437060912355,0.003449050925661057,0.0003231354617050375,-0.0343078346662502,0.0026998832731317535,0.013091424060918566,-0.025852754710242065,0.003469154995491719,0.002996888072663406,-0.024349482842120795,0.0013491053409704357,-0.011419183258243093,-0.001324647269987933,-0.10257977340291413,-0.11103485335892227,-0.11253812522704354,0.00883002207505501,0.013303769401330268,-0.05055401662049874,0.001386001386001201,-0.01499659168370815,-0.11131611316113155,0.0,-0.011742892459826959,-0.0676384839650146,-0.011667810569663595,-0.018404907975460016,-0.052631578947368474,-0.017187500000000022,0.0807560137457044,0.03966942148760344,-0.011631528598654794,0.016668832486383622,0.013415133262502432,0.02007714877813549,-0.07908377294302893,PASS,0.0,93,93,model_features_v2.0,2026-03-23T08:43:03Z
