symbol,market,asset_type,trade_date,open,high,low,close,prev_close,volume,amount,pct_change,ret_1d,log_ret_1d,quality_flag,ingest_time,data_version
HSI,HK,index,2020-01-02,28249.37,28543.52,28245.97,28543.52,28189.75,126273.28,9087494.512971,0.012549596927961426,0.012549596927961426,0.012471503419058639,PASS,2026-07-16T20:25:16Z,D20260716.01
HSI,HK,index,2020-01-03,28828.36,28883.3,28428.17,28451.5,28543.52,179790.48,9788683.089447,-0.003223849055757677,-0.003223849055757677,-0.0032290568529049395,PASS,2026-07-16T20:25:16Z,D20260716.01
HSI,HK,index,2020-01-06,28326.5,28367.87,28054.29,28226.19,28451.5,179342.66,9160570.018912,-0.007919090381877991,-0.007919090381877991,-0.007950612908230367,PASS,2026-07-16T20:25:16Z,D20260716.01
HSI,HK,index,2020-01-07,28352.68,28473.08,28264.07,28322.06,28226.19,130268.72,8641908.462302,0.003396490989396872,0.003396490989396872,0.0033907359415068184,PASS,2026-07-16T20:25:16Z,D20260716.01
HSI,HK,index,2020-01-08,27999.58,28198.61,27857.73,28087.92,28322.06,170924.16,9655394.979299,-0.00826705402078809,-0.00826705402078809,-0.00830141562240313,PASS,2026-07-16T20:25:16Z,D20260716.01
HSI,HK,index,2020-01-09,28367.65,28561.0,28325.86,28561.0,28087.92,169278.62,9573783.643936,0.01684282780640234,0.01684282780640234,0.016702560193333493,PASS,2026-07-16T20:25:16Z,D20260716.01
HSI,HK,index,2020-01-10,28665.14,28665.14,28504.27,28638.2,28561.0,144840.1,10527334.138423,0.002702986590105372,0.002702986590105372,0.0026993400913324452,PASS,2026-07-16T20:25:16Z,D20260716.01
HSI,HK,index,2020-01-13,28772.37,28971.4,28671.84,28954.94,28638.2,176505.57,11181100.347502,0.011060052656940655,0.011060052656940655,0.010999337539293254,PASS,2026-07-16T20:25:16Z,D20260716.01
HSI,HK,index,2020-01-14,29149.53,29149.53,28790.49,28885.14,28954.94,164350.47,11919278.386949,-0.0024106421909352305,-0.0024106421909352305,-0.0024135524668516387,PASS,2026-07-16T20:25:16Z,D20260716.01
HSI,HK,index,2020-01-15,28891.07,28972.68,28619.1,28773.59,28885.14,124012.07,10043133.362265,-0.0038618473027999256,-0.0038618473027999256,-0.0038693234892290982,PASS,2026-07-16T20:25:16Z,D20260716.01
