ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,swing,vol,amount
HSI,20200102,28249.37,28543.52,28245.97,28543.52,28189.75,353.77,1.255,1.06,126273.28,9087494.512971
HSI,20200103,28828.36,28883.3,28428.17,28451.5,28543.52,-92.02,-0.3224,1.59,179790.48,9788683.089447
HSI,20200106,28326.5,28367.87,28054.29,28226.19,28451.5,-225.31,-0.7919,1.1,179342.66,9160570.018912
HSI,20200107,28352.68,28473.08,28264.07,28322.06,28226.19,95.87,0.3396,0.74,130268.72,8641908.462302
HSI,20200108,27999.58,28198.61,27857.73,28087.92,28322.06,-234.14,-0.8267,1.2,170924.16,9655394.979299
HSI,20200109,28367.65,28561.0,28325.86,28561.0,28087.92,473.08,1.6843,0.84,169278.62,9573783.643936
HSI,20200110,28665.14,28665.14,28504.27,28638.2,28561.0,77.2,0.2703,0.56,144840.1,10527334.138423
HSI,20200113,28772.37,28971.4,28671.84,28954.94,28638.2,316.74,1.106,1.05,176505.57,11181100.347502
HSI,20200114,29149.53,29149.53,28790.49,28885.14,28954.94,-69.8,-0.2411,1.24,164350.47,11919278.386949
HSI,20200115,28891.07,28972.68,28619.1,28773.59,28885.14,-111.55,-0.3862,1.22,124012.07,10043133.362265
HSI,20200116,28806.12,28987.73,28709.57,28883.04,28773.59,109.45,0.3804,0.97,162092.62,10150163.297644
HSI,20200117,28988.16,29101.15,28813.13,29056.42,28883.04,173.38,0.6003,1.0,154508.28,11136057.817747
HSI,20200120,29169.12,29174.92,28795.42,28795.91,29056.42,-260.51,-0.8966,1.31,163338.39,11159910.522291
HSI,20200121,28449.38,28492.03,27980.5,27985.33,28795.91,-810.58,-2.8149,1.78,223652.17,13284025.707586
HSI,20200122,28116.5,28393.93,27937.68,28341.04,27985.33,355.71,1.2711,1.63,134328.81,10149271.843831
HSI,20200123,28109.75,28133.03,27706.37,27909.12,28341.04,-431.92,-1.524,1.51,175326.3,11870593.813859
HSI,20200124,27935.42,27977.63,27774.5,27949.64,27909.12,40.52,0.1452,0.73,61212.87,4732153.241299
HSI,20200129,27101.54,27333.3,27101.54,27160.63,27949.64,-789.01,-2.823,0.83,220383.61,12405118.607015
HSI,20200130,27030.61,27134.55,26330.05,26449.13,27160.63,-711.5,-2.6196,2.96,222356.78,12439606.150162
HSI,20200131,26757.61,26818.84,26295.49,26312.63,26449.13,-136.5,-0.5161,1.98,187425.52,10302446.752559
HSI,20200203,26189.61,26512.58,26145.59,26356.98,26312.63,44.35,0.1686,1.39,242148.27,13667977.173376
HSI,20200204,26491.66,26730.26,26491.66,26675.98,26356.98,319.0,1.2103,0.91,250023.81,13585463.889669
HSI,20200205,26869.32,26926.12,26641.92,26786.74,26675.98,110.76,0.4152,1.07,249893.08,13378142.541099
HSI,20200206,27174.53,27608.22,27029.49,27493.7,26786.74,706.96,2.6392,2.16,224953.39,13172605.909402
HSI,20200207,27356.28,27410.58,27224.12,27404.27,27493.7,-89.43,-0.3253,0.68,146451.47,9940794.856044
HSI,20200210,27092.15,27314.64,27044.88,27241.34,27404.27,-162.93,-0.5945,0.98,161201.79,10775477.34839
HSI,20200211,27514.25,27674.81,27436.99,27583.88,27241.34,342.54,1.2574,0.87,186862.54,11101537.163472
HSI,20200212,27717.22,27892.48,27614.83,27823.66,27583.88,239.78,0.8693,1.01,179656.12,11223385.509378
HSI,20200213,27953.65,27953.65,27695.6,27730.0,27823.66,-93.66,-0.3366,0.93,161701.02,10591862.184701
HSI,20200214,27698.56,27960.66,27695.59,27815.6,27730.0,85.6,0.3087,0.96,144533.59,9578273.660528
HSI,20200217,27766.71,28055.58,27766.71,27959.6,27815.6,144.0,0.5177,1.04,141299.92,9560370.180311
HSI,20200218,27766.5,27771.3,27496.25,27530.2,27959.6,-429.4,-1.5358,0.98,159222.14,10138594.505715
HSI,20200219,27486.46,27697.46,27448.6,27655.81,27530.2,125.61,0.4563,0.9,147153.81,8836083.209528
HSI,20200220,27767.28,27767.28,27383.13,27609.16,27655.81,-46.65,-0.1687,1.39,158207.31,10087892.652186
HSI,20200221,27450.46,27484.53,27264.78,27308.81,27609.16,-300.35,-1.0879,0.8,177361.34,10025054.412433
HSI,20200224,27105.35,27105.35,26813.22,26820.88,27308.81,-487.93,-1.7867,1.07,204465.7,12413326.190367
HSI,20200225,26722.39,26914.05,26667.04,26893.23,26820.88,72.35,0.2698,0.92,192404.29,11792576.77388
HSI,20200226,26479.9,26776.06,26479.9,26696.49,26893.23,-196.74,-0.7316,1.1,204000.0,11959666.498872
HSI,20200227,26529.17,26849.57,26419.97,26778.62,26696.49,82.13,0.3076,1.61,211036.97,11046721.844324
HSI,20200228,26249.06,26313.55,25989.41,26129.93,26778.62,-648.69,-2.4224,1.21,319142.62,16819327.346293
HSI,20200302,26077.73,26375.91,26077.73,26291.68,26129.93,161.75,0.619,1.14,220153.56,12544439.375887
HSI,20200303,26419.13,26527.75,26233.39,26284.82,26291.68,-6.86,-0.0261,1.12,213629.5,11649256.464505
HSI,20200304,26321.56,26372.48,26038.39,26222.07,26284.82,-62.75,-0.2387,1.27,195706.24,11097461.315503
HSI,20200305,26348.16,26805.58,26315.36,26767.87,26222.07,545.8,2.0815,1.87,252284.32,13262824.348412
HSI,20200306,26397.78,26408.8,26084.23,26146.67,26767.87,-621.2,-2.3207,1.21,264651.93,11946241.470646
HSI,20200309,25134.02,25321.28,24948.38,25040.46,26146.67,-1106.21,-4.2308,1.43,467789.24,16962924.591191
HSI,20200310,25285.68,25578.61,24978.97,25392.51,25040.46,352.05,1.4059,2.39,322566.11,14106210.393301
HSI,20200311,25459.96,25493.23,25140.38,25231.61,25392.51,-160.9,-0.6337,1.39,262762.56,11268041.598527
HSI,20200312,24657.67,24657.67,24117.94,24309.07,25231.61,-922.54,-3.6563,2.14,374892.84,15226242.76257
HSI,20200313,22519.32,24184.48,22519.32,24032.91,24309.07,-276.16,-1.136,6.85,549515.57,20243355.299214
HSI,20200316,23317.81,23631.53,22842.25,23063.57,24032.91,-969.34,-4.0334,3.28,406702.93,15880537.327474
HSI,20200317,23001.76,23401.2,22676.46,23263.73,23063.57,200.16,0.8679,3.14,363797.37,15101517.58429
HSI,20200318,23023.34,23425.03,22167.42,22291.82,23263.73,-971.91,-4.1778,5.41,421715.36,16608851.900685
HSI,20200319,22221.38,22380.34,21139.26,21709.13,22291.82,-582.69,-2.6139,5.57,562839.76,17098783.443716
HSI,20200320,22147.34,22805.07,22147.34,22805.07,21709.13,1095.94,5.0483,3.03,452818.79,17127217.958233
HSI,20200323,21659.55,22064.31,21659.55,21696.13,22805.07,-1108.94,-4.8627,1.77,,13754886.760625
HSI,20200324,22497.57,22753.01,22383.25,22663.49,21696.13,967.36,4.4587,1.7,361406.67,13779670.337454
HSI,20200325,23255.91,23569.45,23062.23,23527.19,22663.49,863.7,3.811,2.24,360537.49,15116200.957504
HSI,20200326,23604.83,23604.83,23163.67,23352.34,23527.19,-174.85,-0.7432,1.88,251950.81,12177893.964633
HSI,20200327,23768.41,23791.2,23354.01,23484.28,23352.34,131.94,0.565,1.87,219967.43,12241775.798792
HSI,20200330,23020.85,23491.51,22973.33,23175.11,23484.28,-309.17,-1.3165,2.21,255343.59,10794901.93597
HSI,20200331,23613.27,23627.53,23238.04,23603.48,23175.11,428.37,1.8484,1.68,287632.66,11334052.492724
HSI,20200401,23365.9,23540.01,22947.64,23085.79,23603.48,-517.69,-2.1933,2.51,287997.76,12492696.300761
HSI,20200402,22838.67,23280.06,22756.13,23280.06,23085.79,194.27,0.8415,2.27,256093.74,8971637.852611
HSI,20200403,23072.95,23236.11,23030.58,23236.11,23280.06,-43.95,-0.1888,0.88,187063.06,7997311.471277
HSI,20200406,23558.83,23832.93,23271.47,23749.12,23236.11,513.01,2.2078,2.42,183403.66,8681414.42772
HSI,20200407,24093.05,24262.01,23796.03,24253.29,23749.12,504.17,2.1229,1.96,253503.46,12637592.978314
HSI,20200408,24191.32,24191.32,23897.4,23970.37,24253.29,-282.92,-1.1665,1.21,184085.41,9453559.549748
HSI,20200409,24181.32,24308.69,24045.18,24300.33,23970.37,329.96,1.3765,1.1,172533.46,9388694.687264
HSI,20200414,24347.61,24546.39,24283.13,24435.4,24300.33,135.07,0.5558,1.08,205044.78,11145910.409144
HSI,20200415,24499.86,24603.6,24090.5,24145.34,24435.4,-290.06,-1.187,2.1,190662.52,11206811.108938
HSI,20200416,24025.45,24102.91,23854.79,24006.45,24145.34,-138.89,-0.5752,1.03,186547.34,10584260.49018
HSI,20200417,24457.83,24666.64,24308.78,24380.0,24006.45,373.55,1.556,1.49,193757.9,13791125.438182
HSI,20200420,24503.56,24503.56,24225.55,24330.02,24380.0,-49.98,-0.205,1.14,137509.16,8984641.907084
HSI,20200421,24247.84,24247.84,23676.13,23793.55,24330.02,-536.47,-2.205,2.35,216066.17,11079631.411758
HSI,20200422,23540.54,23939.29,23483.31,23893.36,23793.55,99.81,0.4195,1.92,166836.24,9705784.195525
HSI,20200423,23983.65,24107.88,23806.3,23977.32,23893.36,83.96,0.3514,1.26,181434.48,9654350.911225
HSI,20200424,23844.55,23957.17,23730.49,23831.33,23977.32,-145.99,-0.6089,0.95,130166.49,8279936.514308
HSI,20200427,24030.66,24318.81,24030.54,24280.14,23831.33,448.81,1.8833,1.21,159271.3,8711934.579041
HSI,20200428,24401.12,24582.66,24176.88,24575.96,24280.14,295.82,1.2184,1.67,168755.73,8610724.081067
HSI,20200429,24786.02,24855.47,24549.62,24643.59,24575.96,67.63,0.2752,1.24,164800.9,8608602.069873
HSI,20200504,23895.11,23897.53,23584.95,23613.8,24643.59,-1029.79,-4.1787,1.27,255677.4,10969129.638002
HSI,20200505,23755.77,23928.45,23697.88,23868.66,23613.8,254.86,1.0793,0.98,133296.73,7045460.592305
HSI,20200506,23868.02,24235.03,23868.02,24137.48,23868.66,268.82,1.1262,1.54,189000.0,10959188.277751
HSI,20200507,24120.81,24120.81,23913.5,23980.63,24137.48,-156.85,-0.6498,0.86,131706.0,8655027.215295
HSI,20200508,24193.36,24263.73,24097.12,24230.17,23980.63,249.54,1.0406,0.69,127411.32,9682010.913956
HSI,20200511,24470.18,24766.83,24470.18,24602.06,24230.17,371.89,1.5348,1.22,145820.0,10365267.399671
HSI,20200512,24358.0,24411.04,24136.2,24245.68,24602.06,-356.38,-1.4486,1.12,147962.86,9704850.312749
HSI,20200513,24111.67,24320.2,23979.37,24180.3,24245.68,-65.38,-0.2697,1.41,135903.85,10353650.265622
HSI,20200514,24038.07,24081.19,23790.27,23829.74,24180.3,-350.56,-1.4498,1.2,169772.08,11865378.142856
HSI,20200515,23834.68,23985.12,23671.61,23797.47,23829.74,-32.27,-0.1354,1.32,150947.86,10433838.051024
HSI,20200518,23736.67,23952.05,23722.17,23934.77,23797.47,137.3,0.577,0.97,164511.47,10942925.957984
HSI,20200519,24489.55,24552.55,24314.45,24388.13,23934.77,453.36,1.8941,0.99,202298.75,12596294.810848
HSI,20200520,24462.9,24514.87,24315.75,24399.95,24388.13,11.82,0.0485,0.82,143202.13,10169194.053893
HSI,20200521,24528.91,24528.91,24208.16,24280.03,24399.95,-119.92,-0.4915,1.31,147434.5,12426146.509043
HSI,20200522,23756.91,23756.91,22878.26,22930.14,24280.03,-1349.89,-5.5597,3.62,368098.91,18054600.921496
HSI,20200525,22725.7,22968.65,22519.73,22952.24,22930.14,22.1,0.0964,1.96,176902.9,11822700.164976
HSI,20200526,23198.34,23481.48,23165.49,23384.66,22952.24,432.42,1.884,1.38,142114.82,10746470.629402
HSI,20200527,23515.14,23515.14,23134.61,23301.36,23384.66,-83.3,-0.3562,1.63,183714.61,11088218.776178
HSI,20200528,23206.75,23451.78,22798.69,23132.76,23301.36,-168.6,-0.7236,2.8,235679.26,13269869.006597
HSI,20200529,22781.11,23089.77,22781.11,22961.47,23132.76,-171.29,-0.7405,1.33,362141.2,17893681.716614
HSI,20200601,23539.91,23806.32,23539.91,23732.52,22961.47,771.05,3.358,1.16,256914.88,15075302.828733
HSI,20200602,23792.24,23995.94,23766.15,23995.94,23732.52,263.42,1.11,0.97,181329.39,11402850.560888
