symbol,market,asset_type,trade_date,open,high,low,close,prev_close,volume,amount,pct_change,ret_1d,log_ret_1d,quality_flag,ingest_time,data_version
02618.HK,HK,equity,2021-05-28,46.05,47.75,41.25,41.7,40.36,158666916.0,7166974069.65,0.03320118929633309,0.03320118929633309,0.03266193331934764,PASS,2026-08-16T10:34:12Z,D20260816.01
02618.HK,HK,equity,2021-05-31,41.7,43.2,40.4,41.55,41.7,23839000.0,998166022.2,-0.003597122302158362,-0.003597122302158362,-0.0036036075032986558,PASS,2026-08-16T10:34:12Z,D20260816.01
02618.HK,HK,equity,2021-06-01,43.15,46.05,42.2,45.8,41.55,42380110.0,1877928517.9,0.10228640192539107,0.10228640192539107,0.09738656981868204,PASS,2026-08-16T10:34:12Z,D20260816.01
02618.HK,HK,equity,2021-06-02,46.0,48.15,45.0,45.4,45.8,46880752.0,2187613236.2,-0.008733624454148492,-0.008733624454148492,-0.008771986072836994,PASS,2026-08-16T10:34:12Z,D20260816.01
02618.HK,HK,equity,2021-06-03,45.5,47.0,45.5,47.0,45.4,21285150.0,983273347.7,0.03524229074889873,0.03524229074889873,0.03463549666275634,PASS,2026-08-16T10:34:12Z,D20260816.01
02618.HK,HK,equity,2021-06-04,46.5,47.9,46.35,46.95,47.0,19974835.0,944803274.6,-0.0010638297872339608,-0.0010638297872339608,-0.0010643960557865904,PASS,2026-08-16T10:34:12Z,D20260816.01
02618.HK,HK,equity,2021-06-07,47.5,47.5,45.5,45.9,46.95,10892372.0,499762921.8,-0.022364217252396235,-0.022364217252396235,-0.022618088587772513,PASS,2026-08-16T10:34:12Z,D20260816.01
02618.HK,HK,equity,2021-06-08,46.0,46.15,44.2,45.3,45.9,12963544.0,581227441.35,-0.013071895424836666,-0.013071895424836666,-0.013158084577511199,PASS,2026-08-16T10:34:12Z,D20260816.01
02618.HK,HK,equity,2021-06-09,45.4,45.7,44.5,44.65,45.3,5893300.0,265120137.5,-0.014348785871964642,-0.014348785871964642,-0.014452725166480244,PASS,2026-08-16T10:34:12Z,D20260816.01
02618.HK,HK,equity,2021-06-10,44.65,45.2,43.85,43.9,44.65,7720218.0,342461590.05,-0.016797312430011146,-0.016797312430011146,-0.016939987241382334,PASS,2026-08-16T10:34:12Z,D20260816.01
02618.HK,HK,equity,2021-06-11,45.5,45.8,42.75,42.75,43.9,16151882.0,705895859.33,-0.026195899772209486,-0.026195899772209486,-0.02654512469835636,PASS,2026-08-16T10:34:12Z,D20260816.01
02618.HK,HK,equity,2021-06-15,43.25,43.25,41.8,42.0,42.75,8373600.0,353188332.75,-0.01754385964912286,-0.01754385964912286,-0.017699577099400975,PASS,2026-08-16T10:34:12Z,D20260816.01
02618.HK,HK,equity,2021-06-16,42.0,42.45,41.25,41.6,42.0,5603353.0,234435337.45,-0.00952380952380949,-0.00952380952380949,-0.009569451016150672,PASS,2026-08-16T10:34:12Z,D20260816.01
02618.HK,HK,equity,2021-06-17,41.6,43.65,40.85,42.0,41.6,7761394.0,328308391.6,0.009615384615384581,0.009615384615384581,0.009569451016150672,PASS,2026-08-16T10:34:12Z,D20260816.01
02618.HK,HK,equity,2021-06-18,42.1,43.0,41.6,41.9,42.0,4950420.0,208375321.0,-0.0023809523809523725,-0.0023809523809523725,-0.0023837913552762504,PASS,2026-08-16T10:34:12Z,D20260816.01
02618.HK,HK,equity,2021-06-21,41.15,41.3,40.5,41.0,41.9,7371500.0,301803434.95,-0.021479713603818618,-0.021479713603818618,-0.021713760223784247,PASS,2026-08-16T10:34:12Z,D20260816.01
02618.HK,HK,equity,2021-06-22,41.5,41.95,40.95,41.05,41.0,4985237.0,206255139.85,0.0012195121951219523,0.0012195121951219523,0.0012187691941294254,PASS,2026-08-16T10:34:12Z,D20260816.01
