symbol,company_name_zh,company_name_en,report_date,announce_date,period_type,fiscal_year,fiscal_period,currency,unit,revenue,revenue_yoy,revenue_qoq,core_business_revenue,supply_chain_revenue,external_customer_revenue,other_revenue,revenue_growth_quality_note,gross_profit,gross_margin,operating_profit,operating_margin,net_profit,net_profit_yoy,net_profit_qoq,net_margin,adj_net_profit,adj_net_profit_yoy,ebitda,ebitda_margin,adj_ebitda,adj_ebitda_margin,profit_quality_note,operating_cash_flow,investing_cash_flow,financing_cash_flow,free_cash_flow,capex,cash_and_equivalents,restricted_cash,cash_flow_quality_note,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,interest_bearing_debt,net_cash,debt_to_asset_ratio,balance_sheet_quality_note,inventory,inventory_turnover_days,accounts_receivable,accounts_receivable_turnover_days,accounts_payable,accounts_payable_turnover_days,working_capital,working_capital_change,efficiency_note,integrated_supply_chain_clients,warehouse_count,warehouse_area,cloud_warehouse_count,county_coverage_ratio,delivery_network_note,fulfillment_scale_note,market_cap,ps_ttm,pe_ttm,pb,ev_to_ebitda,valuation_note,major_event_flag,major_event_type,major_event_note,management_guidance,guidance_change_flag,guidance_note,source_type,source_url,source_title,ingest_time,data_version,quality_flag,quality_note,is_manual_verified,verified_by,verified_time
02618.HK,京东物流,"JD Logistics, Inc.",2025-03-31,2025-05-13,quarter,2025,Q1,rmb,million_rmb,46967.125,0.115,,,23200.757,,,,3387.178,0.072,,,610.613,0.895,,,751.463,,,,3756.19,0.08,,,,,-2200,,,,,,,,,,,,,,,,,,,,,,,,1600,32000000,2000,,,,,,,,,,1,network_expansion,第10架自有全货机投入运营，开通深圳-曼谷航线，波兰华沙2号仓投入运营，中东区域汽车备件库开仓,持续强化一体化供应链核心赛道，推进海外仓和航空网络建设，提升时效与服务能力,0,,quarterly_business_highlights,,截至2025年3月31日止三个月财务信息及业务亮点,2026-03-19T13:57:34+00:00,v1,REVIEW,Q1 文件未稳定披露 external_customer_revenue，暂留空；仓库数量和云仓数量为公告中的“1600多/2000多”口径，先按主表展示需求记为整数近似值,0,,
02618.HK,京东物流,"JD Logistics, Inc.",2025-06-30,2025-08-14,semiannual,2025,H1,rmb,million_rmb,98531.786,0.141,,,50107.239,17600,,,8866.295,0.09,,,2959.157,0.153,,,3339.048,,,,9475.513,0.096,,6568.722,,,300,,17317.766,394.063,,118908.791,59823.05,59085.741,,,5976.401,,0.5031,,,,,,,,,,,73713,1600,34000000,2000,,,,,,,,,,1,expansion_and_acquisition_progress,沙特推出JoyExpress，海外仓覆盖23个国家和地区，第一阶段完成跨越速运股权收购,继续强化一体化供应链与全球织网，推进JoyExpress、海外仓与京东外卖骑手协同,0,,interim_report,,截至2025年6月30日止三个月及六个月业绩公告,2026-03-19T13:57:34+00:00,v1,REVIEW,external_customer_revenue 取管理层披露“外部一体化供应链客户收入达人民币176亿元”的简化值；warehouse/cloud_warehouse_count 为“1600多/2000多”近似口径,0,,
02618.HK,京东物流,"JD Logistics, Inc.",2025-09-30,2025-11-13,quarter,2025,Q3,rmb,million_rmb,55084.441,0.241,,,30134.896,8900,,,5007.346,0.091,,,1963.736,-0.197,,,2019.705,,,,5317.375,0.097,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,1600,34000000,2000,,,,,,,,,,1,acquisition,以约2.7亿美元从京东集团收购本地即时配送服务业务，强化最后一公里能力,继续推动一体化供应链与海外复制，增强航空物流和最后一公里能力,0,,quarterly_business_highlights,,截至2025年9月30日止三个月财务信息及业务亮点,2026-03-19T13:57:34+00:00,v1,REVIEW,Q3 文件主要为单季财务信息及业务亮点，资产负债表类字段未完整披露，暂未入表,0,,
02618.HK,京东物流,"JD Logistics, Inc.",2025-12-31,2026-03-05,annual,2025,FY,rmb,million_rmb,217146.986,0.188,,,116223.056,35900,,,19767.969,0.091,,,6890.045,-0.028,,,7710.685,-0.026,,,20603.137,0.095,,18765.124,-11493.231,-14765.344,4200,6300,18117.91,459.914,,124599.558,64814.829,59784.729,58742.886,44369.279,4407.975,,0.5202,,,,,,,,,,,91161,1600,34000000,2000,,,,,,,,,,1,acquisition_and_global_expansion,收购本地即时配送服务业务；海外仓覆盖25个国家和地区；推出海外自营快递品牌JoyExpress,继续围绕体验、成本、效率，强化一体化供应链与全球高效流通能力，推进自动化和AI深度应用,0,,annual_report,,截至2025年12月31日止年度业绩公告,2026-03-19T13:57:34+00:00,v1,REVIEW,free_cash_flow、capex、external_customer_revenue采用公告中的管理层口径整理值；warehouse/cloud_warehouse_count 为“1600多/2000多”近似口径,0,,
